dates,area
2002-12-01,459.1446432853216
2002-12-02,735.6969774166996
2003-11-06,3979.6277202394585
2003-11-08,3778.4700827768957
2003-11-19,1628.1348044488298
2003-11-22,2358.1741838831995
2003-11-26,251.74366755808597
2003-11-27,2185.1754014898456
2003-11-30,234.55241106114948
2004-01-04,240.15947312082255
2004-01-05,557.0150456254601
2004-11-22,257.7897135166002
2004-12-26,219.3831099662704
2005-01-02,220.7979825657629
2005-01-03,403.54062260517895
2005-01-04,1130.7922746466274
2005-01-08,233.57818936040087
2005-01-09,413.91583276981174
2006-02-20,648.0764065193406
2006-02-21,1206.9680985344376
2006-11-19,319.5093140939796
2006-12-01,838.7024622311548
2006-12-02,1695.734860497093
2006-12-03,1762.1113437813033
2007-03-27,466.92936282239435
2007-11-30,322.12137683517125
2007-12-01,1375.5245366242962
2007-12-07,483.31540014146105
2007-12-10,505.30001299336044
2008-01-23,276.5454741870254
2008-12-09,341.08953160983276
2008-12-11,390.22621510067506
2008-12-13,396.48611872288046
2008-12-14,1145.1174314323275
2008-12-15,2209.0077645667816
2008-12-17,2360.3243918049793
2008-12-19,373.94139259608767
2008-12-21,296.99713976542665
2008-12-22,615.8600840641525
2009-01-22,638.3527417862068
2009-02-23,207.45205566985757
2009-02-24,448.2713896753149
2009-02-28,572.7331328482073
2009-03-01,1141.3125074828572
2010-11-16,496.9169916713944
2010-11-17,1447.3057663578015
2010-11-18,2634.9125403299045
2010-11-21,472.23430798146995
2010-11-22,482.1523756245027
2010-12-19,253.08245402475845
2011-02-23,229.66741535703656
2011-02-24,284.5342908998462
2011-02-25,817.732624490419
2012-12-18,250.44748476750232
2012-12-21,408.8786376808284
2012-12-22,1232.6049018131596
2012-12-23,1234.1182042106354
2013-12-01,687.0266330602749
2013-12-02,770.5889081346774
2013-12-04,854.5429273132693
2013-12-09,290.1512629686025
2013-12-24,237.42255625479928
2014-11-07,819.4416583387655
2014-11-10,520.6252894694481
2014-11-11,921.4737509435088
2014-11-15,452.30024268778214
2014-11-23,300.43553705877935
2014-12-29,402.39756141248165
2015-01-31,354.68727886106143
2015-02-02,213.93763444467427
2015-02-26,843.0206851807845
2015-02-27,873.4387695889602
2015-03-01,385.71620221857165
2016-11-29,638.9915952441044
2016-12-04,356.8018576501321
2016-12-05,559.1677483408766
2016-12-06,637.4629851240804
2016-12-09,312.7592771410049
2016-12-12,477.97959444493733
2016-12-15,399.0920853346387
2016-12-17,806.7436410319992
2016-12-22,2503.339767293562
2016-12-23,3625.523542111294
2016-12-31,844.295950433336
2017-01-02,2871.4097321624527
2017-01-03,4321.563765786439
2017-01-07,591.797273786569
2017-01-08,1351.273015653338
2017-01-09,1584.5896187842532
2017-01-10,2379.0559624170464
2017-01-31,855.9052084729998
2017-02-01,972.8125522214625
2017-02-02,1257.5570302679546
2017-02-03,1891.539119137983
2017-12-22,306.2357557337916
2017-12-23,656.8202501828009
2018-02-21,691.2983417370867
2019-02-25,477.96916810929605
2019-02-27,262.97046812982114
2019-03-28,303.67955101596664
2019-03-29,640.7995241529343
2019-03-31,724.1316576894633
2019-12-11,355.18238211211514
2019-12-13,308.61317000023894
2019-12-16,383.97679401469514
2019-12-17,760.2738758743648
2019-12-18,851.8628041818997
2020-01-14,316.49146992245016
2020-01-15,345.5675973985041
2020-01-16,954.7525564748883
2020-01-17,1656.668462642603
2020-03-14,1719.267377980368
2020-03-17,1095.19879408901
2020-03-18,1202.4350874090926
2020-03-19,1634.5680483297838
2020-03-20,2545.8891097557307
2020-03-25,560.3465260883124
2020-12-04,984.1758279771724
2021-01-23,206.83471047413292
2021-01-24,414.8626235270107
2021-12-04,302.5327805818946
2021-12-05,1461.4037130547522
2021-12-06,2563.0514667314583
2021-12-08,2576.4573445008173
2021-12-21,523.8153030025481
