dates,area
2002-12-20,585.9375
2002-12-21,468.75
2002-12-23,351.5625
2003-01-11,312.5
2003-01-20,312.5
2003-12-28,664.0625
2003-12-29,507.8125
2003-12-30,1054.6875
2003-12-31,585.9375
2004-01-01,937.5
2004-01-02,1718.75
2004-01-03,703.125
2004-11-25,429.6875
2005-03-11,234.375
2005-03-16,1171.875
2005-03-17,781.25
2006-02-16,351.5625
2006-02-17,820.3125
2006-02-18,742.1875
2006-02-19,2695.3125
2006-03-14,468.75
2006-03-15,1406.25
2006-03-16,1289.0625
2006-03-17,273.4375
2007-02-01,937.5
2007-02-02,585.9375
2007-02-03,1718.75
2007-02-04,1796.875
2007-02-05,703.125
2007-02-06,312.5
2007-02-07,976.5625
2007-02-08,1679.6875
2007-02-09,1640.625
2007-02-10,546.875
2008-01-20,1171.875
2008-01-29,351.5625
2008-01-30,234.375
2009-02-22,312.5
2009-03-09,273.4375
2009-03-10,234.375
2010-01-23,507.8125
2010-01-24,429.6875
2010-01-25,234.375
2010-03-20,507.8125
2010-11-24,390.625
2010-12-17,625.0
2010-12-18,703.125
2011-01-29,703.125
2011-01-30,781.25
2011-01-31,546.875
2011-02-01,585.9375
2011-02-18,1054.6875
2011-03-10,273.4375
2013-01-05,429.6875
2013-01-13,703.125
2013-01-15,898.4375
2013-02-24,273.4375
2013-02-26,507.8125
2013-03-04,234.375
2013-03-05,1562.5
2013-03-06,1640.625
2013-03-07,1210.9375
2013-03-08,468.75
2013-03-09,1328.125
2013-03-10,781.25
2013-03-16,351.5625
2013-11-23,312.5
2014-01-25,312.5
2014-01-27,351.5625
2014-01-28,351.5625
2014-01-29,351.5625
2014-02-04,468.75
2014-02-24,273.4375
2014-02-28,546.875
2014-03-01,429.6875
2014-03-02,625.0
2014-03-18,234.375
2014-03-25,468.75
2014-03-26,585.9375
2014-03-27,546.875
2014-03-28,546.875
2014-03-29,273.4375
2014-11-19,234.375
2014-11-20,1289.0625
2014-11-24,664.0625
2015-01-01,351.5625
2015-01-02,390.625
2015-12-17,234.375
2016-01-05,234.375
2016-01-08,820.3125
2016-01-25,546.875
2016-01-26,703.125
2016-01-27,1171.875
2016-02-03,546.875
2016-02-04,234.375
2016-02-05,234.375
2016-02-15,429.6875
2016-02-26,312.5
2016-02-27,1015.625
2016-02-28,703.125
2016-02-29,507.8125
2016-03-01,273.4375
2016-12-26,273.4375
2017-03-11,351.5625
2017-12-21,429.6875
2018-01-09,742.1875
2018-02-14,273.4375
2018-03-02,742.1875
2018-03-03,312.5
2018-03-05,234.375
2018-03-12,312.5
2018-03-13,351.5625
2018-03-14,390.625
2018-03-23,820.3125
2018-03-24,2187.5
2018-03-25,2734.375
2018-03-26,2187.5
2018-03-27,1718.75
2018-03-28,1835.9375
2018-03-29,1484.375
2018-03-30,1367.1875
2018-03-31,1914.0625
2018-12-26,1210.9375
2019-01-15,390.625
2019-01-28,585.9375
2019-01-29,234.375
2019-02-08,898.4375
2019-02-09,468.75
2019-02-10,820.3125
2019-02-11,742.1875
2019-02-12,781.25
2019-02-17,273.4375
2019-02-18,234.375
2019-02-23,625.0
2019-02-24,664.0625
2019-02-26,429.6875
2019-03-23,273.4375
2019-03-27,273.4375
2020-01-13,234.375
2020-03-31,625.0
2020-12-01,312.5
2020-12-23,976.5625
2021-01-22,585.9375
2021-03-05,507.8125
2021-03-08,2500.0
2021-03-09,3281.25
2021-03-10,3437.5
2021-03-11,351.5625
2021-03-13,1445.3125
2021-03-14,2734.375
2021-03-15,1835.9375
2021-03-16,585.9375
2022-02-22,234.375
2022-02-23,468.75
2022-02-26,703.125
2022-02-27,585.9375
2022-03-24,429.6875
2022-03-25,781.25
2022-03-26,429.6875
